district_code,state,district_number,total_population,pop_25_34,yp_estimate,yp_density_pct,yp_share_of_cohort_pct,swing_state,pct_bachelors,pct_employed,pct_income_40k_200k,pct_not_enrolled
FL-6,FL,6,779543,81881,7431,0.95,9.08,False,0.20107228783234204,0.7519571084867063,0.6635962600227506,0.9045199741087676
WV-1,WV,1,893959,100612,8467,0.95,8.42,False,0.22816363853218305,0.6583111358486066,0.6092648430551639,0.91960203554248
AR-1,AR,1,754109,93470,6989,0.93,7.48,False,0.19033914625013373,0.6975286188081737,0.6110015340784571,0.9217181983524125
LA-5,LA,5,775396,101660,6979,0.9,6.87,False,0.20411174503246116,0.6500393468424159,0.5676053689382008,0.9116171552232933
AZ-2,AZ,2,798999,94878,7114,0.89,7.5,True,0.18360420750858997,0.6481376082969709,0.7019604587777916,0.8976053458125172
LA-4,LA,4,774854,102633,6904,0.89,6.73,False,0.20195258834877672,0.6369783597868132,0.5754530099881143,0.908684341293736
PR-98,PR,98,3272382,420918,27353,0.84,6.5,False,0.3485952133194589,0.625751333989043,0.3374517295559971,0.882832285623328
MS-2,MS,2,738521,92978,6147,0.83,6.61,False,0.20885585837509948,0.6636838822086946,0.5215114057897785,0.9145496784185506
CA-13,CA,13,770975,112739,6331,0.82,5.62,False,0.1403507215781584,0.6691384525319544,0.6677095441842059,0.8954753900602276
CA-25,CA,25,763179,104797,6272,0.82,5.98,False,0.14791453953834557,0.6717272441004991,0.6732732576310032,0.894710726452093
AR-4,AR,4,754720,87966,6051,0.8,6.88,False,0.17102062160380146,0.7054430120728463,0.6155168788114942,0.926323806925403
OK-2,OK,2,797693,95820,6311,0.79,6.59,False,0.15771237737424337,0.694312252139428,0.6479531471840985,0.9282926320183678
KY-5,KY,5,750027,90777,4990,0.67,5.5,False,0.15850931403329038,0.6410875001377001,0.5851717109167376,0.924430197076352
CA-22,CA,22,780816,120296,4691,0.6,3.9,False,0.10864866662233158,0.6338614750282636,0.6252258805077907,0.9056244596661568
