district_code,state,district_number,total_population,pop_25_34,yp_estimate,yp_density_pct,yp_share_of_cohort_pct,swing_state,pct_bachelors,pct_employed,pct_income_40k_200k,pct_not_enrolled
CA-34,CA,34,766809,149642,24876,3.24,16.62,False,0.3951965357319469,0.7595260688844041,0.6288253968253968,0.8807219898156935
MD-8,MD,8,767402,91344,24896,3.24,27.26,False,0.6121693816780522,0.8308263268523384,0.6176525427679113,0.8676103520756699
MO-2,MO,2,764420,86989,24747,3.24,28.45,False,0.5138120911839428,0.8540505121337181,0.7222160713890303,0.8976422306268609
IL-6,IL,6,754650,92918,24190,3.21,26.03,False,0.5168966185238597,0.8113605544673799,0.700490608035978,0.8861684496007233
NY-13,NY,13,813765,151122,26147,3.21,17.3,False,0.4794669207660036,0.726439565384259,0.5875335050191832,0.8454890750519448
MD-2,MD,2,769431,100196,24666,3.21,24.62,False,0.47815282047187513,0.8264701185676074,0.718384287648762,0.8671703461216017
GA-4,GA,4,766420,121088,24503,3.2,20.24,True,0.4405060782241015,0.8127560121564482,0.6401608459014478,0.8828950845665962
MD-7,MD,7,764705,133422,24448,3.2,18.32,False,0.4231311178066586,0.7847281557764086,0.6423532815411713,0.8591011977035271
FL-5,FL,5,770573,110549,24548,3.19,22.21,False,0.4241105754009534,0.8083202923590445,0.7226944246826674,0.8962631955060651
IN-7,IN,7,750334,129908,23966,3.19,18.45,False,0.4023539735813037,0.7979801090002155,0.6360745337573505,0.9033546817747945
MN-2,MN,2,713718,87144,22753,3.19,26.11,False,0.44566464702102265,0.8609887083448086,0.7518106126781587,0.905076654732397
MI-6,MI,6,770957,99467,24518,3.18,24.65,True,0.5633928840721043,0.8017533453306122,0.6690433937550175,0.8156474006454402
NY-11,NY,11,759570,102159,24084,3.17,23.58,False,0.5140614140702239,0.7796669896925381,0.655914383690696,0.8967687624193659
CT-3,CT,3,723601,96935,22792,3.15,23.51,False,0.48699644091401456,0.8057048537679888,0.692998162646725,0.864723783978955
CA-15,CA,15,752065,114019,23694,3.15,20.78,False,0.5821485892702094,0.8298529192503004,0.49289677879855404,0.872705426288601
ME-1,ME,1,683145,85763,21482,3.14,25.05,False,0.4393736226577895,0.8429159427725242,0.7514868518063407,0.8999685178923312
NH-1,NH,1,689659,88720,21540,3.12,24.28,False,0.4365644724977457,0.8390329125338143,0.7293369207171415,0.9088142470694319
KY-3,KY,3,746481,111235,23184,3.11,20.84,False,0.42793185598058164,0.8143480019777948,0.6681071577291445,0.8951768777812739
FL-27,FL,27,752682,108456,23360,3.1,21.54,False,0.4878107250866711,0.8157962676108284,0.6298620796528747,0.8592793390868186
CT-1,CT,1,718451,98483,22287,3.1,22.63,False,0.4513875491201527,0.8198470802067361,0.6876189480288613,0.8893209995633764
MD-3,MD,3,770623,97968,23926,3.1,24.42,False,0.5098399477380369,0.8140821492732321,0.6897545683116446,0.8530642658827372
TN-7,TN,7,766775,127006,23729,3.09,18.68,False,0.4001228288427318,0.7449254365935467,0.7052785536181573,0.8887690345338015
WI-5,WI,5,738618,81285,22853,3.09,28.11,True,0.4611305898997355,0.8729654917881527,0.7629506455114436,0.9154210493941072
NJ-11,NJ,11,769976,83325,23826,3.09,28.59,False,0.6516531653165316,0.8384878487848785,0.5899876695437731,0.886984698469847
GA-6,GA,6,767777,81537,23636,3.08,28.99,True,0.5837472558470388,0.8090682757521125,0.676492533278545,0.9073058856715356
NY-25,NY,25,774084,107403,23879,3.08,22.23,False,0.45173784717372883,0.8255355995642579,0.6764892695601963,0.8812696107185088
TX-30,TX,30,771989,126001,23539,3.05,18.68,False,0.38561598717470497,0.7870810549122627,0.682708210151075,0.9015801461893159
NY-14,NY,14,727966,127577,22053,3.03,17.29,False,0.3932762175000196,0.7472271647710794,0.6654436077394031,0.8839445981642459
CA-14,CA,14,751587,109725,22696,3.02,20.68,False,0.5290225563909774,0.8069628616997038,0.5495333395245171,0.8816860332649806
VA-4,VA,4,784211,130672,23711,3.02,18.15,False,0.3711430145708338,0.7869933880249785,0.6999843751436108,0.8875122443981879
RI-2,RI,2,548896,74342,16512,3.01,22.21,False,0.4081004008501251,0.8161873503537704,0.7461433163634127,0.8936671060773184
NY-3,NY,3,776626,84531,23265,3.0,27.52,False,0.6315079674912163,0.8216985484615111,0.5942478791640803,0.8925482958914481
TX-12,TX,12,771857,117999,23042,2.99,19.53,False,0.3699099144908008,0.8011508572106544,0.7402841505887556,0.8900922889177026
MA-6,MA,6,777375,88217,23280,2.99,26.39,False,0.5466179987984175,0.8424793407166419,0.63073350797809,0.9085323690445152
NY-26,NY,26,772610,115504,23069,2.99,19.97,False,0.436132082005818,0.78892505887242,0.657575284182281,0.8827226762709517
VT-AL,VT,0,643816,76288,19079,2.96,25.01,False,0.4549470427852349,0.8257917365771812,0.7417627790470424,0.8974281669463087
TX-24,TX,24,756184,90620,22415,2.96,24.74,False,0.49566320900463473,0.8475722798499228,0.66016724623282,0.8918450673140587
CA-28,CA,28,748192,98058,22119,2.96,22.56,False,0.5406494115727427,0.7824450835219972,0.6340163144710643,0.8410226600583328
UT-4,UT,4,824895,126356,24239,2.94,19.18,False,0.3385988793567381,0.7940422298901516,0.8038490928153822,0.8875874513279939
MO-3,MO,3,770039,95870,22661,2.94,23.64,False,0.41312193595493896,0.8280066757066862,0.7611455471063113,0.9078439553562115
MA-2,MA,2,771071,96018,22326,2.9,23.25,False,0.4969589035389198,0.8109312837176362,0.6711534433530664,0.85968255952009
RI-1,RI,1,545354,77432,15742,2.89,20.33,False,0.4292669697282777,0.7761519785101767,0.6917340692570791,0.8821159210662258
MD-4,MD,4,764378,113993,22097,2.89,19.38,False,0.37525111191038046,0.8141552551472458,0.7300954896823506,0.8690358179888239
OH-7,OH,7,783302,90016,22479,2.87,24.97,False,0.4324897795947387,0.8438388730892286,0.7525566005263099,0.909238357625311
PA-2,PA,2,762893,128386,21762,2.85,16.95,True,0.403626563644011,0.7622793762559781,0.61928384997676,0.8896141323820355
PA-6,PA,6,766664,91860,21837,2.85,23.77,True,0.4891900718484651,0.8174069235793598,0.6578917169677079,0.903625081645983
CO-4,CO,4,727411,87782,20695,2.85,23.58,False,0.44576336834430746,0.8109976988448657,0.71240853114403,0.9153926773142558
NE-1,NE,1,653295,85992,18547,2.84,21.57,False,0.3998744069215741,0.8290073495208856,0.742297045877388,0.8765001395478649
PA-1,PA,1,763498,85217,21673,2.84,25.43,True,0.47576187849842166,0.8319936162972177,0.705895358364438,0.9102057101282608
IL-11,IL,11,750486,88045,21329,2.84,24.23,False,0.4611619058436027,0.8224089954000795,0.7023863430537945,0.9093758873303425
AL-6,AL,6,711393,93332,20125,2.83,21.56,False,0.4247846397805683,0.8041829168988128,0.6955797238299433,0.9074915355933656
ND-AL,ND,0,776874,112870,21989,2.83,19.48,False,0.3559404624789581,0.8301940285283955,0.7297556384425001,0.9034375830601578
